graph size, truck no, time factor, best in currant graph found by bruteforce, generations, population, solution by genetic, execution time
9, 2, 1, 144, 10000, 12, 152, 3830
9, 2, 1, 144, 10000, 14, 152, 4444
9, 2, 1, 144, 10000, 16, 152, 5053
9, 2, 1, 144, 15000, 2, 152, 665
9, 2, 1, 144, 15000, 4, 152, 1304
9, 2, 1, 144, 15000, 8, 152, 2574
9, 2, 1, 144, 15000, 10, 152, 3223
9, 2, 1, 144, 15000, 12, 152, 3847
9, 2, 1, 144, 15000, 14, 152, 4430
9, 2, 1, 144, 15000, 16, 152, 5057
9, 2, 1, 144, 20000, 2, 152, 663
9, 2, 1, 144, 20000, 4, 152, 1311
9, 2, 1, 144, 20000, 8, 152, 2546
9, 2, 1, 144, 20000, 10, 152, 3232
9, 2, 1, 144, 20000, 12, 152, 3840
9, 2, 1, 144, 20000, 14, 152, 4437
9, 2, 1, 144, 20000, 16, 152, 5048
9, 3, 1, 144, 2000, 2, 149, 297
9, 3, 1, 144, 2000, 4, 149, 567
9, 3, 1, 144, 2000, 8, 149, 1091
9, 3, 1, 144, 2000, 10, 149, 1371
9, 3, 1, 144, 2000, 12, 149, 1611
9, 3, 1, 144, 2000, 14, 149, 1849
9, 3, 1, 144, 2000, 16, 149, 2112
9, 3, 1, 144, 4000, 2, 149, 296
9, 3, 1, 144, 4000, 4, 149, 566
9, 3, 1, 144, 4000, 8, 149, 1086
9, 3, 1, 144, 4000, 10, 149, 1365
9, 3, 1, 144, 4000, 12, 149, 1615
9, 3, 1, 144, 4000, 14, 149, 1863
9, 3, 1, 144, 4000, 16, 149, 2109
9, 3, 1, 144, 6000, 2, 149, 296
9, 3, 1, 144, 6000, 4, 149, 561
9, 3, 1, 144, 6000, 8, 149, 1087
9, 3, 1, 144, 6000, 10, 149, 1363
9, 3, 1, 144, 6000, 12, 149, 1613
9, 3, 1, 144, 6000, 14, 149, 1851
9, 3, 1, 144, 6000, 16, 149, 2103
9, 3, 1, 144, 8000, 2, 149, 297
9, 3, 1, 144, 8000, 4, 149, 566
9, 3, 1, 144, 8000, 8, 149, 1088
9, 3, 1, 144, 8000, 10, 149, 1370
9, 3, 1, 144, 8000, 12, 149, 1618
9, 3, 1, 144, 8000, 14, 149, 1868
9, 3, 1, 144, 8000, 16, 149, 2094
9, 3, 1, 144, 10000, 2, 149, 296
9, 3, 1, 144, 10000, 4, 149, 566
9, 3, 1, 144, 10000, 8, 149, 1093
9, 3, 1, 144, 10000, 10, 149, 1366
9, 3, 1, 144, 10000, 12, 149, 1611
9, 3, 1, 144, 10000, 14, 149, 1871
9, 3, 1, 144, 10000, 16, 149, 2107
9, 3, 1, 144, 15000, 2, 149, 296
9, 3, 1, 144, 15000, 4, 149, 564
9, 3, 1, 144, 15000, 8, 149, 1089
9, 3, 1, 144, 15000, 10, 149, 1364
9, 3, 1, 144, 15000, 12, 149, 1620
9, 3, 1, 144, 15000, 14, 149, 1850
9, 3, 1, 144, 15000, 16, 149, 2114
9, 3, 1, 144, 20000, 2, 149, 298
9, 3, 1, 144, 20000, 4, 149, 589
9, 3, 1, 144, 20000, 8, 149, 1089
9, 3, 1, 144, 20000, 10, 149, 1367
9, 3, 1, 144, 20000, 12, 149, 1612
9, 3, 1, 144, 20000, 14, 149, 1858
9, 3, 1, 144, 20000, 16, 149, 2099
9, 4, 1, 144, 2000, 2, 148, 299
9, 4, 1, 144, 2000, 4, 148, 567
9, 4, 1, 144, 2000, 8, 148, 1081
9, 4, 1, 144, 2000, 10, 148, 1361
9, 4, 1, 144, 2000, 12, 148, 1594
9, 4, 1, 144, 2000, 14, 148, 1840
9, 4, 1, 144, 2000, 16, 148, 2075
9, 4, 1, 144, 4000, 2, 148, 301
9, 4, 1, 144, 4000, 4, 148, 566
9, 4, 1, 144, 4000, 8, 148, 1086
9, 4, 1, 144, 4000, 10, 148, 1362
9, 4, 1, 144, 4000, 12, 148, 1605
9, 4, 1, 144, 4000, 14, 148, 1838
9, 4, 1, 144, 4000, 16, 148, 2091
9, 4, 1, 144, 6000, 2, 148, 300
9, 4, 1, 144, 6000, 4, 148, 569
9, 4, 1, 144, 6000, 8, 148, 1082
9, 4, 1, 144, 6000, 10, 148, 1360
9, 4, 1, 144, 6000, 12, 148, 1598
9, 4, 1, 144, 6000, 14, 148, 1838
9, 4, 1, 144, 6000, 16, 148, 2083
9, 4, 1, 144, 8000, 2, 148, 299
9, 4, 1, 144, 8000, 4, 148, 579
9, 4, 1, 144, 8000, 8, 148, 1085
9, 4, 1, 144, 8000, 10, 148, 1360
9, 4, 1, 144, 8000, 12, 148, 1601
9, 4, 1, 144, 8000, 14, 148, 1836
9, 4, 1, 144, 8000, 16, 148, 2096
9, 4, 1, 144, 10000, 2, 148, 299
9, 4, 1, 144, 10000, 4, 148, 569
9, 4, 1, 144, 10000, 8, 148, 1087
9, 4, 1, 144, 10000, 10, 148, 1361
9, 4, 1, 144, 10000, 12, 148, 1601
9, 4, 1, 144, 10000, 14, 148, 1842
9, 4, 1, 144, 10000, 16, 148, 2085
9, 4, 1, 144, 15000, 2, 148, 325
9, 4, 1, 144, 15000, 4, 148, 600
9, 4, 1, 144, 15000, 8, 148, 1096
9, 4, 1, 144, 15000, 10, 148, 1378
9, 4, 1, 144, 15000, 12, 148, 1624
9, 4, 1, 144, 15000, 14, 148, 1854
9, 4, 1, 144, 15000, 16, 148, 2108
9, 4, 1, 144, 20000, 2, 148, 303
9, 4, 1, 144, 20000, 4, 148, 572
9, 4, 1, 144, 20000, 8, 148, 1092
9, 4, 1, 144, 20000, 10, 148, 1364
9, 4, 1, 144, 20000, 12, 148, 1616
9, 4, 1, 144, 20000, 14, 148, 1844
9, 4, 1, 144, 20000, 16, 148, 2084
10, 2, 1, 116, 2000, 2, 134, 1084
10, 2, 1, 116, 2000, 4, 134, 2170
10, 2, 1, 116, 2000, 8, 134, 4287
10, 2, 1, 116, 2000, 10, 134, 5398
10, 2, 1, 116, 2000, 12, 134, 6302
10, 2, 1, 116, 2000, 14, 134, 7337
10, 2, 1, 116, 2000, 16, 134, 8791
10, 2, 1, 116, 4000, 2, 134, 1084
10, 2, 1, 116, 4000, 4, 134, 2184
10, 2, 1, 116, 4000, 8, 134, 4430
10, 2, 1, 116, 4000, 10, 134, 5492
10, 2, 1, 116, 4000, 12, 134, 6360
10, 2, 1, 116, 4000, 14, 134, 7436
10, 2, 1, 116, 4000, 16, 134, 8414
10, 2, 1, 116, 6000, 2, 134, 1089
10, 2, 1, 116, 6000, 4, 134, 2154
10, 2, 1, 116, 6000, 8, 134, 4240
10, 2, 1, 116, 6000, 10, 134, 5428
10, 2, 1, 116, 6000, 12, 134, 6387
10, 2, 1, 116, 6000, 14, 134, 7347
10, 2, 1, 116, 6000, 16, 134, 8401
10, 2, 1, 116, 8000, 2, 134, 1090
10, 2, 1, 116, 8000, 4, 134, 2143
10, 2, 1, 116, 8000, 8, 134, 4257
10, 2, 1, 116, 8000, 10, 134, 5378
10, 2, 1, 116, 8000, 12, 134, 6394
10, 2, 1, 116, 8000, 14, 134, 7366
10, 2, 1, 116, 8000, 16, 134, 8462
10, 2, 1, 116, 10000, 2, 134, 1079
10, 2, 1, 116, 10000, 4, 134, 2179
10, 2, 1, 116, 10000, 8, 134, 4276
10, 2, 1, 116, 10000, 10, 134, 5369
10, 2, 1, 116, 10000, 12, 134, 6291
10, 2, 1, 116, 10000, 14, 134, 7438
10, 2, 1, 116, 10000, 16, 134, 8451
10, 2, 1, 116, 15000, 2, 134, 1076
10, 2, 1, 116, 15000, 4, 134, 2163
10, 2, 1, 116, 15000, 8, 134, 4228
10, 2, 1, 116, 15000, 10, 134, 5341
10, 2, 1, 116, 15000, 12, 134, 6274
10, 2, 1, 116, 15000, 14, 134, 7392
10, 2, 1, 116, 15000, 16, 134, 8223
10, 2, 1, 116, 20000, 2, 134, 1069
10, 2, 1, 116, 20000, 4, 134, 2138
10, 2, 1, 116, 20000, 8, 134, 4266
10, 2, 1, 116, 20000, 10, 134, 5309
10, 2, 1, 116, 20000, 12, 134, 6516
10, 2, 1, 116, 20000, 14, 134, 7461
10, 2, 1, 116, 20000, 16, 134, 8408
10, 3, 1, 116, 2000, 2, 116, 364
10, 3, 1, 116, 2000, 4, 116, 701
10, 3, 1, 116, 2000, 8, 116, 1355
10, 3, 1, 116, 2000, 10, 116, 1717
10, 3, 1, 116, 2000, 12, 116, 2024
10, 3, 1, 116, 2000, 14, 116, 2322
10, 3, 1, 116, 2000, 16, 116, 2637
10, 3, 1, 116, 4000, 2, 116, 366
10, 3, 1, 116, 4000, 4, 116, 705
10, 3, 1, 116, 4000, 8, 116, 1364
10, 3, 1, 116, 4000, 10, 116, 1717
10, 3, 1, 116, 4000, 12, 116, 2023
10, 3, 1, 116, 4000, 14, 116, 2335
10, 3, 1, 116, 4000, 16, 116, 2656
10, 3, 1, 116, 6000, 2, 116, 366
10, 3, 1, 116, 6000, 4, 116, 705
10, 3, 1, 116, 6000, 8, 116, 1368
10, 3, 1, 116, 6000, 10, 116, 1715
10, 3, 1, 116, 6000, 12, 116, 2024
10, 3, 1, 116, 6000, 14, 116, 2329
10, 3, 1, 116, 6000, 16, 116, 2640
10, 3, 1, 116, 8000, 2, 116, 365
10, 3, 1, 116, 8000, 4, 116, 705
10, 3, 1, 116, 8000, 8, 116, 1350
10, 3, 1, 116, 8000, 10, 116, 1716
10, 3, 1, 116, 8000, 12, 116, 2028
10, 3, 1, 116, 8000, 14, 116, 2327
10, 3, 1, 116, 8000, 16, 116, 2651
10, 3, 1, 116, 10000, 2, 116, 362
10, 3, 1, 116, 10000, 4, 116, 705
10, 3, 1, 116, 10000, 8, 116, 1356
10, 3, 1, 116, 10000, 10, 116, 1708
10, 3, 1, 116, 10000, 12, 116, 2026
10, 3, 1, 116, 10000, 14, 116, 2339
10, 3, 1, 116, 10000, 16, 116, 2642
10, 3, 1, 116, 15000, 2, 116, 366
10, 3, 1, 116, 15000, 4, 116, 706
10, 3, 1, 116, 15000, 8, 116, 1358
10, 3, 1, 116, 15000, 10, 116, 1711
10, 3, 1, 116, 15000, 12, 116, 2026
10, 3, 1, 116, 15000, 14, 116, 2350
10, 3, 1, 116, 15000, 16, 116, 2662
10, 3, 1, 116, 20000, 2, 116, 368
10, 3, 1, 116, 20000, 4, 116, 709
10, 3, 1, 116, 20000, 8, 116, 1369
10, 3, 1, 116, 20000, 10, 116, 1718
10, 3, 1, 116, 20000, 12, 116, 2044
10, 3, 1, 116, 20000, 14, 116, 2344
10, 3, 1, 116, 20000, 16, 116, 2655
10, 4, 1, 116, 2000, 2, 116, 317
10, 4, 1, 116, 2000, 4, 116, 597
10, 4, 1, 116, 2000, 8, 116, 1149
10, 4, 1, 116, 2000, 10, 116, 1434
10, 4, 1, 116, 2000, 12, 116, 1704
10, 4, 1, 116, 2000, 14, 116, 1946
10, 4, 1, 116, 2000, 16, 116, 2217
10, 4, 1, 116, 4000, 2, 116, 315
10, 4, 1, 116, 4000, 4, 116, 603
10, 4, 1, 116, 4000, 8, 116, 1142
10, 4, 1, 116, 4000, 10, 116, 1431
10, 4, 1, 116, 4000, 12, 116, 1713
10, 4, 1, 116, 4000, 14, 116, 1972
10, 4, 1, 116, 4000, 16, 116, 2221
10, 4, 1, 116, 6000, 2, 116, 320
10, 4, 1, 116, 6000, 4, 116, 604
10, 4, 1, 116, 6000, 8, 116, 1154
10, 4, 1, 116, 6000, 10, 116, 1446
10, 4, 1, 116, 6000, 12, 116, 1702
10, 4, 1, 116, 6000, 14, 116, 1962
10, 4, 1, 116, 6000, 16, 116, 2227
10, 4, 1, 116, 8000, 2, 116, 316
